Id,SalePrice
1461,129856.4375
1462,157043.921875
1463,182772.0625
1464,187279.515625
1465,191980.25
1466,175437.25
1467,169158.1875
1468,162920.140625
1469,173301.8125
1470,121581.304688
1471,199850.140625
1472,98094.8203125
1473,97227.96875
1474,150938.5
1475,119993.609375
1476,391910.9375
1477,258247.515625
1478,289842.71875
1479,263538.53125
1480,483719.0625
1481,301630.78125
1482,204298.328125
1483,172004.53125
1484,164735.421875
1485,174512.03125
1486,195075.71875
1487,345505.21875
1488,238328.015625
1489,213187.96875
1490,233441.90625
1491,188918.234375
1492,96666.734375
1493,173482.828125
1494,304138.15625
1495,288473.03125
1496,237118.328125
1497,174707.6875
1498,160783.6875
1499,161419.390625
1500,157351.203125
1501,177964.203125
1502,153657.46875
1503,307440.625
1504,234447.390625
1505,229053.4375
1506,171609.078125
1507,250028.09375
1508,182500.171875
1509,151683.453125
1510,142446.703125
1511,142021.546875
1512,170075.28125
1513,134837.203125
1514,169524.6875
1515,211982.6875
1516,152564.03125
1517,162015.265625
1518,130618.21875
1519,230945.25
1520,130866.421875
1521,135061.78125
1522,174598.5
1523,105214.289062
1524,125210.320312
1525,119891.679688
1526,112908.773438
1527,102622.015625
1528,134152.40625
1529,141130.46875
1530,166278.984375
1531,100264.046875
1532,103886.617188
1533,155223.125
1534,120237.351562
1535,157426.671875
1536,120374.640625
1537,71871.296875
1538,162947.703125
1539,197397.71875
1540,97279.84375
1541,149089.4375
1542,140928.421875
1543,200911.96875
1544,93675.171875
1545,101904.429688
1546,129055.875
1547,145618.046875
1548,132312.734375
1549,108086.9375
1550,139151.78125
1551,115964.179688
1552,145552.375
1553,162182.578125
1554,105236.90625
1555,184456.203125
1556,90038.1015625
1557,106683.4375
1558,95648.7109375
1559,94668.09375
1560,140848.171875
1561,135119.21875
1562,129458.328125
1563,122585.585938
1564,156009.421875
1565,144610.09375
1566,236350.5
1567,72005.1875
1568,221423.1875
1569,128467.179688
1570,140660.375
1571,122859.390625
1572,148016.453125
1573,246645.578125
1574,112399.507812
1575,221896.03125
1576,244894.734375
1577,201132.265625
1578,140963.921875
1579,150640.5
1580,186690.34375
1581,156084.53125
1582,126224.820312
1583,335932.53125
1584,229093.46875
1585,142765.953125
1586,76050.6796875
1587,94679.4296875
1588,144642.171875
1589,100187.414062
1590,135435.421875
1591,93920.4375
1592,122368.914062
1593,123537.1875
1594,153659.921875
1595,112616.054688
1596,234454.453125
1597,176877.71875
1598,207044.75
1599,179046.5
1600,177350.875
1601,68152.8125
1602,113396.3125
1603,86480.2265625
1604,280818.71875
1605,254314.40625
1606,168359.125
1607,168886.5
1608,211466.71875
1609,198893.125
1610,148713.34375
1611,140209.09375
1612,166569.265625
1613,167893.03125
1614,124825.734375
1615,96150.8515625
1616,67744.3046875
1617,93554.890625
1618,125815.140625
1619,144401.1875
1620,169190.0625
1621,138034.96875
1622,131530.984375
1623,277409.0625
1624,215834.078125
1625,121369.492188
1626,165300.609375
1627,185602.328125
1628,273731.375
1629,174375.84375
1630,385604.46875
1631,212539.3125
1632,243691.34375
1633,167073.125
1634,184787.8125
1635,175344.03125
1636,153204.140625
1637,196092.203125
1638,200282.453125
1639,176451.265625
1640,252287.453125
1641,170726.046875
1642,220432.375
1643,223940.5625
1644,226779.75
1645,193030.890625
1646,154778.828125
1647,155116.421875
1648,127817.789062
1649,138261.328125
1650,114650.328125
1651,125326.007812
1652,98540.453125
1653,98579.3515625
1654,145736.171875
1655,143156.078125
1656,143604.125
1657,148798.015625
1658,146026.34375
1659,123603.859375
1660,157039.5
